date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,2.75,60.3,39.7,Lean D,0.91,3.11,2.35,-4.46,7.21,51.37,48.63,0.0,False,False,,,,0.0,0.0,0.0,49.0,41.0,1,5.0,0.15,-0.94,-0.64,43.8,-8.9,46.7,92.7,64.7,66.7,59.7,59.7,58.2,55.2,50.2,47.2,47.2,48.2,48.2,51.5,46.5,48.5,49.5,55.5,61.5,59.5,63.5,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-02,305,2.75,60.4,39.6,Lean D,0.91,3.11,2.35,-4.46,7.21,51.37,48.63,0.0,False,False,,,,0.0,0.0,0.0,49.0,41.0,1,5.0,0.15,-0.94,-0.64,43.8,-8.9,46.7,92.7,64.7,66.7,59.7,59.7,58.2,55.2,50.2,47.2,47.2,48.2,48.2,51.5,46.5,48.5,49.5,55.5,61.5,59.5,63.5,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-03,304,2.75,60.4,39.6,Lean D,0.91,3.11,2.35,-4.46,7.21,51.37,48.63,0.0,False,False,,,,0.0,0.0,0.0,49.0,41.0,1,5.0,0.15,-0.94,-0.64,43.8,-8.9,46.7,92.7,64.7,66.7,59.7,59.7,58.2,55.2,50.2,47.2,47.2,48.2,48.2,51.5,46.5,48.5,49.5,55.5,61.5,59.5,63.5,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-04,303,2.68,60.1,39.9,Lean D,0.88,3.05,2.27,-4.46,7.14,51.34,48.66,0.0,False,False,,,,0.0,0.0,0.0,49.0,41.0,1,5.0,0.15,-1.0,-0.64,44.0,-8.6,46.7,92.7,64.7,66.7,59.7,59.7,58.2,55.2,50.2,47.2,47.2,48.2,48.2,51.4,46.4,48.4,49.4,55.4,61.4,59.4,63.4,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-05,302,2.71,60.2,39.8,Lean D,0.9,3.08,2.31,-4.46,7.18,51.36,48.64,0.0,False,False,,,,0.0,0.0,0.0,49.0,41.0,1,5.0,0.15,-0.97,-0.64,43.9,-8.7,46.7,92.7,64.7,66.7,59.7,59.7,58.2,55.2,50.2,47.2,47.2,48.2,48.2,51.4,46.4,48.4,49.4,55.4,61.4,59.4,63.4,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-06,301,2.71,60.2,39.8,Lean D,0.9,3.08,2.31,-4.46,7.18,51.36,48.64,0.0,False,False,,,,0.0,0.0,0.0,49.0,41.0,1,5.0,0.15,-0.97,-0.64,43.9,-8.7,46.7,92.7,64.7,66.7,59.7,59.7,58.2,55.2,50.2,47.2,47.2,48.2,48.2,51.4,46.4,48.4,49.4,55.4,61.4,59.4,63.4,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-07,300,2.71,60.2,39.8,Lean D,0.9,3.08,2.31,-4.46,7.18,51.36,48.64,0.0,False,False,,,,0.0,0.0,0.0,49.0,41.0,1,5.0,0.15,-0.97,-0.64,43.9,-8.8,46.7,92.7,64.7,66.7,59.7,59.7,58.2,55.2,50.2,47.2,47.2,48.2,48.2,51.4,46.4,48.4,49.4,55.4,61.4,59.4,63.4,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-08,299,2.73,60.3,39.7,Lean D,0.9,3.09,2.32,-4.46,7.19,51.36,48.64,0.0,False,False,,,,0.0,0.0,0.0,49.0,41.0,1,5.0,0.15,-0.96,-0.64,44.0,-8.8,46.7,92.7,64.7,66.7,59.7,59.7,58.2,55.2,50.2,47.2,47.2,48.2,48.2,51.4,46.4,48.4,49.4,55.4,61.4,59.4,63.4,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-09,298,2.73,60.3,39.7,Lean D,0.9,3.09,2.32,-4.46,7.19,51.36,48.64,0.0,False,False,,,,0.0,0.0,0.0,49.0,41.0,1,5.0,0.15,-0.96,-0.64,43.9,-8.7,46.7,92.7,64.7,66.7,59.7,59.7,58.2,55.2,50.2,47.2,47.2,48.2,48.2,51.4,46.4,48.4,49.4,55.4,61.4,59.4,63.4,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-10,297,2.73,60.3,39.7,Lean D,0.9,3.09,2.32,-4.46,7.19,51.36,48.64,0.0,False,False,,,,0.0,0.0,0.0,49.0,41.0,1,5.0,0.15,-0.96,-0.64,43.9,-8.7,46.7,92.7,64.7,66.7,59.7,59.7,58.2,55.2,50.2,47.2,47.2,48.2,48.2,51.4,46.4,48.4,49.4,55.4,61.4,59.4,63.4,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
