date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,1.22,54.6,45.4,Toss-up,-1.71,3.18,1.22,-2.21,3.43,50.61,49.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1.22,-0.25,43.2,-10.2,33.2,79.2,51.2,53.2,46.2,46.2,57.4,54.4,49.4,46.4,46.4,47.4,47.4,50.6,45.6,47.6,48.6,54.6,60.6,58.6,62.6,55.5,54.5,54.5,53.5,52.5,51.5,50.5,49.5,49.5,48.5,48.5,48.5,49.5,49.5,50.5,51.5
2026-01-02,305,1.22,54.6,45.4,Toss-up,-1.71,3.18,1.22,-2.21,3.43,50.61,49.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1.22,-0.25,43.2,-10.2,33.2,79.2,51.2,53.2,46.2,46.2,57.4,54.4,49.4,46.4,46.4,47.4,47.4,50.6,45.6,47.6,48.6,54.6,60.6,58.6,62.6,55.5,54.5,54.5,53.5,52.5,51.5,50.5,49.5,49.5,48.5,48.5,48.5,49.5,49.5,50.5,51.5
2026-01-03,304,1.23,54.7,45.3,Toss-up,-1.71,3.19,1.23,-2.21,3.44,50.61,49.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1.23,-0.25,43.2,-10.2,33.2,79.2,51.2,53.2,46.2,46.2,57.4,54.4,49.4,46.4,46.4,47.4,47.4,50.6,45.6,47.6,48.6,54.6,60.6,58.6,62.6,55.5,54.5,54.5,53.5,52.5,51.5,50.5,49.5,49.5,48.5,48.5,48.5,49.5,49.5,50.5,51.5
2026-01-04,303,1.17,54.4,45.6,Toss-up,-1.71,3.13,1.17,-2.21,3.38,50.58,49.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1.17,-0.25,43.3,-9.9,33.2,79.2,51.2,53.2,46.2,46.2,57.4,54.4,49.4,46.4,46.4,47.4,47.4,50.6,45.6,47.6,48.6,54.6,60.6,58.6,62.6,55.5,54.5,54.5,53.5,52.5,51.5,50.5,49.5,49.5,48.5,48.5,48.5,49.5,49.5,50.5,51.5
2026-01-05,302,1.21,54.6,45.4,Toss-up,-1.71,3.17,1.21,-2.21,3.42,50.6,49.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1.21,-0.25,43.3,-10.0,33.2,79.2,51.2,53.2,46.2,46.2,57.4,54.4,49.4,46.4,46.4,47.4,47.4,50.6,45.6,47.6,48.6,54.6,60.6,58.6,62.6,55.5,54.5,54.5,53.5,52.5,51.5,50.5,49.5,49.5,48.5,48.5,48.5,49.5,49.5,50.5,51.5
2026-01-06,301,1.21,54.6,45.4,Toss-up,-1.71,3.17,1.21,-2.21,3.42,50.6,49.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1.21,-0.25,43.3,-10.0,33.2,79.2,51.2,53.2,46.2,46.2,57.4,54.4,49.4,46.4,46.4,47.4,47.4,50.6,45.6,47.6,48.6,54.6,60.6,58.6,62.6,55.5,54.5,54.5,53.5,52.5,51.5,50.5,49.5,49.5,48.5,48.5,48.5,49.5,49.5,50.5,51.5
2026-01-07,300,1.21,54.6,45.4,Toss-up,-1.71,3.17,1.21,-2.21,3.42,50.6,49.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1.21,-0.25,43.3,-10.1,33.2,79.2,51.2,53.2,46.2,46.2,57.4,54.4,49.4,46.4,46.4,47.4,47.4,50.6,45.6,47.6,48.6,54.6,60.6,58.6,62.6,55.5,54.5,54.5,53.5,52.5,51.5,50.5,49.5,49.5,48.5,48.5,48.5,49.5,49.5,50.5,51.5
2026-01-08,299,1.21,54.6,45.4,Toss-up,-1.71,3.17,1.21,-2.21,3.42,50.6,49.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1.21,-0.25,43.3,-10.1,33.2,79.2,51.2,53.2,46.2,46.2,57.4,54.4,49.4,46.4,46.4,47.4,47.4,50.6,45.6,47.6,48.6,54.6,60.6,58.6,62.6,55.5,54.5,54.5,53.5,52.5,51.5,50.5,49.5,49.5,48.5,48.5,48.5,49.5,49.5,50.5,51.5
2026-01-09,298,1.21,54.6,45.4,Toss-up,-1.71,3.17,1.21,-2.21,3.42,50.6,49.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1.21,-0.25,43.3,-10.1,33.2,79.2,51.2,53.2,46.2,46.2,57.4,54.4,49.4,46.4,46.4,47.4,47.4,50.6,45.6,47.6,48.6,54.6,60.6,58.6,62.6,55.5,54.5,54.5,53.5,52.5,51.5,50.5,49.5,49.5,48.5,48.5,48.5,49.5,49.5,50.5,51.5
2026-01-10,297,1.21,54.6,45.4,Toss-up,-1.71,3.17,1.21,-2.21,3.42,50.6,49.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1.21,-0.25,43.3,-10.1,33.2,79.2,51.2,53.2,46.2,46.2,57.4,54.4,49.4,46.4,46.4,47.4,47.4,50.6,45.6,47.6,48.6,54.6,60.6,58.6,62.6,55.5,54.5,54.5,53.5,52.5,51.5,50.5,49.5,49.5,48.5,48.5,48.5,49.5,49.5,50.5,51.5
