date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-13.58,9.7,90.3,Likely R,-16.26,3.11,-13.58,-16.41,2.83,43.21,56.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-13.59,-0.43,49.0,1.4,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-02,305,-13.58,9.7,90.3,Likely R,-16.26,3.11,-13.58,-16.41,2.83,43.21,56.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-13.59,-0.43,49.0,1.4,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-03,304,-13.58,9.7,90.3,Likely R,-16.26,3.11,-13.58,-16.41,2.83,43.21,56.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-13.59,-0.43,49.0,1.4,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-04,303,-13.64,9.6,90.4,Likely R,-16.26,3.05,-13.64,-16.41,2.77,43.18,56.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-13.65,-0.43,49.1,1.7,37.0,83.0,55.0,57.0,50.0,50.0,50.0,47.0,42.0,39.0,39.0,40.0,40.0,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.2,47.2,47.2,46.2,45.2,44.2,43.2,42.2,42.2,41.2,41.2,41.2,42.2,42.2,43.2,44.2
2026-01-05,302,-13.61,9.7,90.3,Likely R,-16.26,3.08,-13.61,-16.41,2.8,43.19,56.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-13.62,-0.43,49.1,1.7,37.0,83.0,55.0,57.0,50.0,50.0,50.0,47.0,42.0,39.0,39.0,40.0,40.0,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.2,47.2,47.2,46.2,45.2,44.2,43.2,42.2,42.2,41.2,41.2,41.2,42.2,42.2,43.2,44.2
2026-01-06,301,-13.61,9.7,90.3,Likely R,-16.26,3.08,-13.61,-16.41,2.8,43.19,56.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-13.62,-0.43,49.1,1.7,37.0,83.0,55.0,57.0,50.0,50.0,50.0,47.0,42.0,39.0,39.0,40.0,40.0,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.2,47.2,47.2,46.2,45.2,44.2,43.2,42.2,42.2,41.2,41.2,41.2,42.2,42.2,43.2,44.2
2026-01-07,300,-13.61,9.7,90.3,Likely R,-16.26,3.08,-13.61,-16.41,2.8,43.19,56.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-13.62,-0.43,49.1,1.5,37.0,83.0,55.0,57.0,50.0,50.0,50.0,47.0,42.0,39.0,39.0,40.0,40.0,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.2,47.2,47.2,46.2,45.2,44.2,43.2,42.2,42.2,41.2,41.2,41.2,42.2,42.2,43.2,44.2
2026-01-08,299,-13.6,9.7,90.3,Likely R,-16.26,3.09,-13.6,-16.41,2.81,43.2,56.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-13.61,-0.43,49.1,1.6,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-09,298,-13.6,9.7,90.3,Likely R,-16.26,3.09,-13.6,-16.41,2.81,43.2,56.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-13.61,-0.43,49.1,1.6,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-10,297,-13.6,9.7,90.3,Likely R,-16.26,3.09,-13.6,-16.41,2.81,43.2,56.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-13.61,-0.43,49.1,1.6,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
