race_code,race_type,state,dem_votes,rep_votes,ind_votes,oth_votes,total_votes,margin,pres24,hd_code
AK-GOV,governor,AK,2444,3078,0,480,6002,-11.47,-18.01,AK-HD-1
AK-GOV,governor,AK,2900,2743,0,491,6134,2.79,-3.28,AK-HD-10
AK-GOV,governor,AK,3257,3081,0,551,6888,2.78,-2.31,AK-HD-11
AK-GOV,governor,AK,2957,2526,0,477,5960,7.85,1.47,AK-HD-12
AK-GOV,governor,AK,2633,2246,0,424,5303,7.94,1.39,AK-HD-13
AK-GOV,governor,AK,3068,1713,0,416,5198,28.34,22.3,AK-HD-14
AK-GOV,governor,AK,3102,2882,0,520,6504,3.67,-2.45,AK-HD-15
AK-GOV,governor,AK,3781,2421,0,540,6742,21.93,15.43,AK-HD-16
AK-GOV,governor,AK,3517,1453,0,432,5401,41.54,35.02,AK-HD-17
AK-GOV,governor,AK,1489,1603,0,269,3360,-3.68,-16.23,AK-HD-18
AK-GOV,governor,AK,2037,1199,0,281,3517,25.89,17.93,AK-HD-19
AK-GOV,governor,AK,3326,2844,0,537,6706,7.82,0.53,AK-HD-2
AK-GOV,governor,AK,2792,1888,0,407,5086,19.32,12.77,AK-HD-20
AK-GOV,governor,AK,3317,2506,0,506,6329,13.94,8.49,AK-HD-21
AK-GOV,governor,AK,1910,1608,0,306,3824,8.58,1.39,AK-HD-22
AK-GOV,governor,AK,2967,3927,0,599,7493,-13.93,-19.35,AK-HD-23
AK-GOV,governor,AK,2385,4132,0,567,7083,-26.8,-33.33,AK-HD-24
AK-GOV,governor,AK,2315,4423,0,586,7324,-31.27,-36.87,AK-HD-25
AK-GOV,governor,AK,1525,4562,0,529,6616,-49.9,-55.94,AK-HD-26
AK-GOV,governor,AK,1391,4311,0,496,6197,-51.22,-57.86,AK-HD-27
AK-GOV,governor,AK,1668,4310,0,520,6498,-44.2,-50.31,AK-HD-28
AK-GOV,governor,AK,2032,4731,0,588,7351,-39.91,-46.43,AK-HD-29
AK-GOV,governor,AK,4360,2788,0,622,7769,22.0,15.51,AK-HD-3
AK-GOV,governor,AK,2024,4634,0,579,7237,-39.19,-45.92,AK-HD-30
AK-GOV,governor,AK,2324,2176,0,391,4891,3.3,-3.37,AK-HD-31
AK-GOV,governor,AK,1398,2386,0,329,4113,-26.09,-32.93,AK-HD-32
AK-GOV,governor,AK,1525,4178,0,496,6199,-46.51,-52.87,AK-HD-33
