race_code,race_type,state,group_type,group,electorate_share,votes,dem_votes,rep_votes,ind_votes,oth_votes,dem_pct,rep_pct,ind_pct,oth_pct
AK-GOV,governor,AK,race,White,61.03,144313,54475,87529,0,2309,37.7,60.7,0.0,1.6
AK-GOV,governor,AK,race,Black,4.24,10028,8324,1543,0,160,83.0,15.4,0.0,1.6
AK-GOV,governor,AK,race,Hispanic,5.99,14170,7859,6085,0,227,55.5,42.9,0.0,1.6
AK-GOV,governor,AK,race,Asian,7.78,18393,10563,7536,0,294,57.4,41.0,0.0,1.6
AK-GOV,governor,AK,race,Native,18.95,44804,22644,21443,0,717,50.5,47.9,0.0,1.6
AK-GOV,governor,AK,race,Pacific Islander,2.0,4739,2395,2268,0,76,50.5,47.9,0.0,1.6
AK-GOV,governor,AK,age,20-29,20.26,47910,24608,22535,0,767,51.4,47.0,0.0,1.6
AK-GOV,governor,AK,age,30-39,20.58,48656,23555,24323,0,778,48.4,50.0,0.0,1.6
AK-GOV,governor,AK,age,40-49,16.45,38889,16913,21353,0,622,43.5,54.9,0.0,1.6
AK-GOV,governor,AK,age,50-59,16.7,39495,16011,22852,0,632,40.5,57.9,0.0,1.6
AK-GOV,governor,AK,age,60-69,15.65,36997,14998,21407,0,592,40.5,57.9,0.0,1.6
AK-GOV,governor,AK,age,70-79,7.4,17505,7269,9957,0,280,41.5,56.9,0.0,1.6
AK-GOV,governor,AK,age,80+,2.96,6993,2904,3977,0,112,41.5,56.9,0.0,1.6
AK-GOV,governor,AK,education,No HS,6.52,15421,7001,8174,0,247,45.4,53.0,0.0,1.6
AK-GOV,governor,AK,education,HS grad,28.84,68191,27602,39498,0,1091,40.5,57.9,0.0,1.6
AK-GOV,governor,AK,education,Some college,24.97,59031,25056,33030,0,944,42.4,56.0,0.0,1.6
AK-GOV,governor,AK,education,Associate,8.92,21099,9163,11598,0,338,43.4,55.0,0.0,1.6
AK-GOV,governor,AK,education,Bachelor,19.29,45620,22506,22384,0,730,49.3,49.1,0.0,1.6
AK-GOV,governor,AK,education,Master,8.16,19293,10657,8327,0,309,55.2,43.2,0.0,1.6
AK-GOV,governor,AK,education,Professional,1.97,4666,2486,2106,0,75,53.3,45.1,0.0,1.6
AK-GOV,governor,AK,education,Doctorate,1.32,3124,1787,1287,0,50,57.2,41.2,0.0,1.6
AK-GOV,governor,AK,income,<$10k,3.87,9151,4577,4428,0,146,50.0,48.4,0.0,1.6
AK-GOV,governor,AK,income,$10-15k,2.47,5842,2864,2884,0,93,49.0,49.4,0.0,1.6
AK-GOV,governor,AK,income,$15-20k,3.18,7509,3682,3707,0,120,49.0,49.4,0.0,1.6
AK-GOV,governor,AK,income,$20-25k,2.59,6125,2943,3084,0,98,48.0,50.4,0.0,1.6
AK-GOV,governor,AK,income,$25-30k,2.69,6370,2998,3270,0,102,47.1,51.3,0.0,1.6
AK-GOV,governor,AK,income,$30-35k,2.84,6722,3097,3517,0,108,46.1,52.3,0.0,1.6
AK-GOV,governor,AK,income,$35-40k,2.95,6987,3151,3724,0,112,45.1,53.3,0.0,1.6
AK-GOV,governor,AK,income,$40-45k,3.45,8158,3599,4429,0,131,44.1,54.3,0.0,1.6
AK-GOV,governor,AK,income,$45-50k,2.99,7065,3117,3836,0,113,44.1,54.3,0.0,1.6
AK-GOV,governor,AK,income,$50-60k,6.13,14483,6246,8005,0,232,43.1,55.3,0.0,1.6
AK-GOV,governor,AK,income,$60-75k,9.59,22672,9778,12532,0,363,43.1,55.3,0.0,1.6
AK-GOV,governor,AK,income,$75-100k,14.22,33619,14499,18582,0,538,43.1,55.3,0.0,1.6
AK-GOV,governor,AK,income,$100-125k,11.45,27077,11944,14700,0,433,44.1,54.3,0.0,1.6
AK-GOV,governor,AK,income,$125-150k,8.21,19419,8566,10543,0,311,44.1,54.3,0.0,1.6
AK-GOV,governor,AK,income,$150-200k,11.04,26095,11767,13910,0,418,45.1,53.3,0.0,1.6
AK-GOV,governor,AK,income,$200k+,12.33,29152,13433,15253,0,466,46.1,52.3,0.0,1.6
AL-GOV,governor,AL,race,White,65.36,1036333,272134,764200,0,0,26.3,73.7,0.0,0.0
AL-GOV,governor,AL,race,Black,25.85,409908,296197,113712,0,0,72.3,27.7,0.0,0.0
AL-GOV,governor,AL,race,Hispanic,4.25,67427,29843,37584,0,0,44.3,55.7,0.0,0.0
AL-GOV,governor,AL,race,Asian,1.91,30271,14003,16268,0,0,46.3,53.7,0.0,0.0
AL-GOV,governor,AL,race,Native,2.5,39648,15565,24082,0,0,39.3,60.7,0.0,0.0
AL-GOV,governor,AL,race,Pacific Islander,0.12,1976,776,1200,0,0,39.3,60.7,0.0,0.0
AL-GOV,governor,AL,age,20-29,17.75,281482,131478,150004,0,0,46.7,53.3,0.0,0.0
AL-GOV,governor,AL,age,30-39,16.66,264095,115434,148661,0,0,43.7,56.3,0.0,0.0
AL-GOV,governor,AL,age,40-49,16.34,259110,100300,158810,0,0,38.7,61.3,0.0,0.0
AL-GOV,governor,AL,age,50-59,17.24,273301,97594,175707,0,0,35.7,64.3,0.0,0.0
AL-GOV,governor,AL,age,60-69,16.49,261534,93392,168142,0,0,35.7,64.3,0.0,0.0
AL-GOV,governor,AL,age,70-79,10.42,165263,60667,104596,0,0,36.7,63.3,0.0,0.0
AL-GOV,governor,AL,age,80+,5.09,80778,29653,51125,0,0,36.7,63.3,0.0,0.0
AL-GOV,governor,AL,education,No HS,12.28,194780,78423,116357,0,0,40.3,59.7,0.0,0.0
AL-GOV,governor,AL,education,HS grad,30.38,481759,169879,311880,0,0,35.3,64.7,0.0,0.0
AL-GOV,governor,AL,education,Some college,21.2,336094,125236,210858,0,0,37.3,62.7,0.0,0.0
AL-GOV,governor,AL,education,Associate,8.93,141523,54150,87373,0,0,38.3,61.7,0.0,0.0
AL-GOV,governor,AL,education,Bachelor,16.69,264645,117138,147507,0,0,44.3,55.7,0.0,0.0
AL-GOV,governor,AL,education,Master,7.61,120721,60677,60044,0,0,50.3,49.7,0.0,0.0
AL-GOV,governor,AL,education,Professional,1.65,26163,12627,13536,0,0,48.3,51.7,0.0,0.0
AL-GOV,governor,AL,education,Doctorate,1.25,19877,10388,9489,0,0,52.3,47.7,0.0,0.0
AL-GOV,governor,AL,income,<$10k,6.46,102498,45487,57012,0,0,44.4,55.6,0.0,0.0
AL-GOV,governor,AL,income,$10-15k,5.38,85357,37026,48331,0,0,43.4,56.6,0.0,0.0
AL-GOV,governor,AL,income,$15-20k,4.78,75835,32895,42939,0,0,43.4,56.6,0.0,0.0
AL-GOV,governor,AL,income,$20-25k,4.84,76706,32506,44199,0,0,42.4,57.6,0.0,0.0
AL-GOV,governor,AL,income,$25-30k,4.56,72249,29895,42354,0,0,41.4,58.6,0.0,0.0
AL-GOV,governor,AL,income,$30-35k,4.5,71322,28798,42524,0,0,40.4,59.6,0.0,0.0
AL-GOV,governor,AL,income,$35-40k,4.22,66862,26329,40533,0,0,39.4,60.6,0.0,0.0
AL-GOV,governor,AL,income,$40-45k,4.18,66347,25463,40885,0,0,38.4,61.6,0.0,0.0
AL-GOV,governor,AL,income,$45-50k,3.92,62177,23862,38315,0,0,38.4,61.6,0.0,0.0
AL-GOV,governor,AL,income,$50-60k,7.45,118055,44126,73929,0,0,37.4,62.6,0.0,0.0
AL-GOV,governor,AL,income,$60-75k,9.37,148606,55546,93060,0,0,37.4,62.6,0.0,0.0
AL-GOV,governor,AL,income,$75-100k,12.45,197398,73783,123615,0,0,37.4,62.6,0.0,0.0
AL-GOV,governor,AL,income,$100-125k,8.67,137414,52737,84678,0,0,38.4,61.6,0.0,0.0
AL-GOV,governor,AL,income,$125-150k,6.07,96281,36951,59331,0,0,38.4,61.6,0.0,0.0
AL-GOV,governor,AL,income,$150-200k,6.66,105623,41592,64031,0,0,39.4,60.6,0.0,0.0
AL-GOV,governor,AL,income,$200k+,6.49,102834,41522,61312,0,0,40.4,59.6,0.0,0.0
AR-GOV,governor,AR,race,White,71.54,600568,166472,434096,0,0,27.7,72.3,0.0,0.0
AR-GOV,governor,AR,race,Black,15.22,127785,94202,33583,0,0,73.7,26.3,0.0,0.0
AR-GOV,governor,AR,race,Hispanic,7.01,58831,26897,31934,0,0,45.7,54.3,0.0,0.0
AR-GOV,governor,AR,race,Asian,2.11,17700,8446,9253,0,0,47.7,52.3,0.0,0.0
AR-GOV,governor,AR,race,Native,3.67,30836,12556,18280,0,0,40.7,59.3,0.0,0.0
AR-GOV,governor,AR,race,Pacific Islander,0.45,3738,1522,2216,0,0,40.7,59.3,0.0,0.0
AR-GOV,governor,AR,age,20-29,17.92,150398,66082,84317,0,0,43.9,56.1,0.0,0.0
AR-GOV,governor,AR,age,30-39,17.3,145230,59454,85776,0,0,40.9,59.1,0.0,0.0
AR-GOV,governor,AR,age,40-49,16.34,137143,49286,87857,0,0,35.9,64.1,0.0,0.0
AR-GOV,governor,AR,age,50-59,16.71,140273,46203,94070,0,0,32.9,67.1,0.0,0.0
AR-GOV,governor,AR,age,60-69,16.0,134311,44239,90072,0,0,32.9,67.1,0.0,0.0
AR-GOV,governor,AR,age,70-79,10.48,87934,29843,58091,0,0,33.9,66.1,0.0,0.0
AR-GOV,governor,AR,age,80+,5.26,44168,14990,29178,0,0,33.9,66.1,0.0,0.0
AR-GOV,governor,AR,education,No HS,11.79,99013,37552,61462,0,0,37.9,62.1,0.0,0.0
AR-GOV,governor,AR,education,HS grad,34.15,286674,94390,192284,0,0,32.9,67.1,0.0,0.0
AR-GOV,governor,AR,education,Some college,21.5,180474,63032,117441,0,0,34.9,65.1,0.0,0.0
AR-GOV,governor,AR,education,Associate,7.85,65903,23676,42227,0,0,35.9,64.1,0.0,0.0
AR-GOV,governor,AR,education,Bachelor,15.62,131149,54986,76163,0,0,41.9,58.1,0.0,0.0
AR-GOV,governor,AR,education,Master,6.63,55674,26682,28991,0,0,47.9,52.1,0.0,0.0
AR-GOV,governor,AR,education,Professional,1.47,12321,5659,6662,0,0,45.9,54.1,0.0,0.0
AR-GOV,governor,AR,education,Doctorate,0.98,8249,4118,4131,0,0,49.9,50.1,0.0,0.0
AR-GOV,governor,AR,income,<$10k,6.04,50706,21139,29567,0,0,41.7,58.3,0.0,0.0
AR-GOV,governor,AR,income,$10-15k,5.32,44629,18159,26470,0,0,40.7,59.3,0.0,0.0
AR-GOV,governor,AR,income,$15-20k,4.91,41213,16769,24444,0,0,40.7,59.3,0.0,0.0
AR-GOV,governor,AR,income,$20-25k,5.27,44263,17568,26695,0,0,39.7,60.3,0.0,0.0
