date,state,chamber,dem_control_prob,proj_dem_mean,proj_control
2026-01-01,AK,House,0.0713,16.1,Coalition
2026-01-01,AK,Senate,0.0321,8.8,Coalition
2026-01-01,AL,House,0.0147,30.1,R
2026-01-01,AL,Senate,0.0069,8.9,R
2026-01-01,AR,House,0.0103,23.3,R
2026-01-01,AR,Senate,0.0004,6.6,R
2026-01-01,AZ,House,0.411,29.9,R
2026-01-01,AZ,Senate,0.4795,15.6,R
2026-01-01,CA,Assembly,0.9819,60.8,D
2026-01-01,CA,Senate,0.9978,30.6,D
2026-01-01,CO,House,0.9429,45.1,D
2026-01-01,CO,Senate,0.9678,23.2,D
2026-01-01,CT,House,0.9217,114.4,D
2026-01-01,CT,Senate,0.8733,26.6,D
2026-01-01,DE,House,0.9463,30.4,D
2026-01-01,DE,Senate,0.9894,15.3,D
2026-01-01,FL,House,0.1936,47.5,R
2026-01-01,FL,Senate,0.0263,13.5,R
2026-01-01,GA,House,0.3361,87.2,R
2026-01-01,GA,Senate,0.1921,25.2,R
2026-01-01,HI,House,0.9945,43.8,D
2026-01-01,HI,Senate,0.9999,21.9,D
2026-01-01,IA,House,0.2015,41.1,R
2026-01-01,IA,Senate,0.0134,19.0,R
2026-01-01,ID,House,0.0027,11.2,R
2026-01-01,ID,Senate,0.002,6.0,R
2026-01-01,IL,House,0.9618,79.8,D
2026-01-01,IL,Senate,0.993,41.9,D
2026-01-01,IN,House,0.0432,33.2,R
2026-01-01,IN,Senate,0.0045,11.9,R
2026-01-01,KS,House,0.0829,45.2,R
2026-01-01,KY,House,0.0111,22.0,R
2026-01-01,KY,Senate,0.0008,7.0,R
2026-01-01,MA,House,0.9951,136.4,D
2026-01-01,MA,Senate,0.9933,34.2,D
2026-01-01,MD,House of Delegates,0.9943,104.8,D
2026-01-01,MD,Senate,0.9919,35.3,D
2026-01-01,ME,House,0.6133,81.5,D
2026-01-01,ME,Senate,0.7833,21.3,D
2026-01-01,MI,House,0.5143,57.0,D
2026-01-01,MI,Senate,0.5452,20.4,D
2026-01-01,MN,House,0.6552,73.5,D
2026-01-01,MN,Senate,0.6612,36.7,D
2026-01-01,MO,House,0.0545,58.8,R
2026-01-01,MO,Senate,0.0025,11.4,R
2026-01-01,MT,House,0.1209,39.3,R
2026-01-01,MT,Senate,0.0244,18.9,R
2026-01-01,NC,House,0.3219,56.5,R
2026-01-01,NC,Senate,0.2485,22.7,R
2026-01-01,ND,House,0.0,10.3,R
2026-01-01,ND,Senate,0.0,6.1,R
2026-01-01,NE,Legislature,0.0086,17.5,R
2026-01-01,NH,House,0.562,209.7,D
2026-01-01,NH,Senate,0.3207,10.9,R
2026-01-01,NM,House,0.9146,44.5,D
2026-01-01,NV,Assembly,0.8268,26.8,D
2026-01-01,NV,Senate,0.8983,12.6,D
2026-01-01,NY,Assembly,0.959,105.0,D
2026-01-01,NY,Senate,0.9354,43.1,D
2026-01-01,OH,House,0.1407,38.9,R
2026-01-01,OH,Senate,0.0151,11.0,R
2026-01-01,OK,House,0.006,20.0,R
2026-01-01,OK,Senate,0.0,8.5,R
2026-01-01,OR,House,0.8887,37.8,D
2026-01-01,OR,Senate,0.9137,18.8,D
2026-01-01,PA,House,0.6383,107.0,D
2026-01-01,PA,Senate,0.2227,23.3,R
2026-01-01,RI,House,0.929,58.3,D
2026-01-01,RI,Senate,0.9374,30.2,D
2026-01-01,SC,House,0.0778,42.6,R
2026-01-01,SD,House,0.0085,7.1,R
2026-01-01,SD,Senate,0.0069,4.2,R
2026-01-01,TN,House,0.0104,26.0,R
2026-01-01,TN,Senate,0.0009,6.6,R
2026-01-01,TX,House,0.2799,69.0,R
2026-01-01,TX,Senate,0.0621,12.2,R
2026-01-01,UT,House,0.0176,18.1,R
