race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-8.58,30.8,69.2,Lean R,-13.18,4.77,-13.8,5.22,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,44.98,53.42,1.6,106351,126312,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-21.0,2.2,97.8,Safe R,-29.63,4.77,-30.88,9.88,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,39.5,60.5,0.0,626323,959240,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-26.36,0.6,99.4,Safe R,-30.5,4.77,-31.57,5.2,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,36.82,63.18,0.0,309071,530386,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,6.83,74.4,25.6,Lean D,-4.25,4.77,-5.59,12.41,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.7,36.79,11,6.65,0.257,53.41,46.59,0.0,1267225,1105298,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.78,99.6,0.4,Safe D,23.32,4.77,20.82,6.97,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.0,31.0,1,21.0,0.15,63.89,36.11,0.0,7091121,4007423,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,20.58,97.6,2.4,Safe D,11.58,4.77,11.29,9.29,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,60.29,39.71,0.0,1347452,887469,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.53,97.0,3.0,Safe D,15.88,4.77,14.76,4.77,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,59.77,40.23,0.0,735812,495328,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-5.03,31.4,68.6,Lean R,-10.56,4.77,-13.22,8.2,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.55,43.42,14,-3.09,0.272,47.49,52.51,0.0,3635023,4019803,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,3.85,64.4,35.6,Lean D,-1.71,4.77,-2.21,6.06,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.0,43.0,1,9.0,0.15,51.92,48.08,0.0,1908214,1766832,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,31.7,99.9,0.1,Safe D,25.73,4.77,23.56,8.14,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,65.85,34.15,0.0,238182,123508,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,3.3,62.4,37.6,Lean D,-12.1,4.77,-13.45,16.74,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.0,41.0,1,6.0,0.15,51.65,48.35,0.0,601436,563018,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-44.36,0.0,100.0,Safe R,-36.28,4.77,-37.52,-6.84,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,27.82,72.18,0.0,176244,457299,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,18.06,95.9,4.1,Safe D,12.91,4.77,11.14,6.92,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,59.03,40.97,0.0,2334436,1620301,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Ty Masterson,DEM,REP,,DEM,-11.92,12.6,87.4,Likely R,-16.26,4.77,-16.41,4.49,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,44.04,55.96,0.0,409247,520067,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,31.74,99.9,0.1,Safe D,27.69,4.77,25.91,5.83,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,55.52,30.9,4,24.62,0.175,65.87,34.13,0.0,1601650,829917,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,36.03,100.0,0.0,Safe D,30.41,4.77,29.51,6.52,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,28.0,1,21.9,0.15,68.02,31.98,0.0,1446588,680246,0,0,2126834
