race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-10.1,30.6,69.3,Lean R,-13.18,3.21,-13.8,3.69,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,44.23,54.17,1.6,104580,128083,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-22.32,1.6,98.4,Safe R,-29.63,3.21,-30.88,8.56,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,38.84,61.16,0.0,615811,969752,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-27.92,0.4,99.6,Safe R,-30.5,3.21,-31.57,3.64,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,36.04,63.96,0.0,302523,536934,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,6.19,72.3,27.7,Lean D,-4.25,3.21,-5.59,11.77,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,46.85,37.84,8,9.01,0.233,53.09,46.91,0.0,1259635,1112888,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.42,99.6,0.4,Safe D,23.32,3.21,20.82,6.61,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,63.71,36.29,0.0,7070994,4027550,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,19.26,96.7,3.3,Safe D,11.58,3.21,11.29,7.96,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,59.63,40.37,0.0,1332635,902287,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,17.97,95.7,4.3,Safe D,15.88,3.21,14.76,3.21,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,58.99,41.01,0.0,726209,504931,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-7.83,22.7,77.3,Likely R,-10.56,3.21,-13.22,5.39,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,36.31,45.03,5,-9.99,0.194,46.08,53.92,0.0,3527653,4127173,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.38,55.2,44.8,Toss-up,-1.71,3.21,-2.21,3.59,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,50.69,49.31,0.0,1862839,1812207,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,30.14,99.8,0.2,Safe D,25.73,3.21,23.56,6.58,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,65.07,34.93,0.0,235361,126330,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,1.26,54.8,45.2,Toss-up,-12.1,3.21,-13.45,14.71,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,50.63,49.37,0.0,589578,574876,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-45.92,0.0,100.0,Safe R,-36.28,3.21,-37.52,-8.4,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,27.04,72.96,0.0,171302,462241,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,16.73,94.5,5.5,Likely D,12.91,3.21,11.14,5.6,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,58.37,41.63,0.0,2308216,1646521,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Ty Masterson,DEM,REP,,DEM,-13.48,9.9,90.1,Likely R,-16.26,3.21,-16.41,2.93,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,43.26,56.74,0.0,401998,527315,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.68,99.8,0.2,Safe D,27.69,3.21,25.91,4.77,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.0,26.0,1,25.0,0.15,65.34,34.66,0.0,1588845,842723,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,34.71,100.0,0.0,Safe D,30.41,3.21,29.51,5.2,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,28.0,1,21.9,0.15,67.35,32.65,0.0,1432487,694347,0,0,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,9.73,82.4,17.6,Likely D,7.49,3.21,7.09,2.65,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,54.87,45.13,0.0,319308,262655,0,0,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,9.49,81.8,18.2,Likely D,-0.36,3.21,-1.44,10.93,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,41.5,40.12,10,1.38,0.25,54.74,45.26,0.0,2170162,1794100,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Kendall Qualls,DEM,REP,,DEM,7.31,75.7,24.3,Likely D,4.94,3.21,4.34,2.96,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,53.65,46.35,0.0,1222078,1055666,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-21.27,2.1,97.9,Safe R,-20.75,3.21,-20.84,-0.43,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,39.37,60.63,0.0,261008,402003,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-11.71,13.1,86.9,Likely R,3.66,3.21,2.82,-14.53,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,43.0,1,0.0,0.15,44.14,55.86,0.0,255295,323037,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,5.4,69.7,30.3,Lean D,7.45,3.21,6.14,-0.75,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,52.7,47.3,0.0,340631,305746,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,2.39,59.0,41.0,Toss-up,-1.54,3.21,-3.15,5.55,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.36,40.9,2,-0.54,0.15,51.2,48.8,0.0,531973,507095,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,12.5,88.4,11.6,Likely D,15.38,3.21,12.68,-0.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.18,32.84,6,17.34,0.21,56.25,43.75,0.0,3270178,2543320,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-6.07,28.1,71.9,Lean R,-10.26,3.21,-11.31,5.24,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,45.11,45.63,8,-0.59,0.233,46.96,53.04,0.0,1895240,2140271,0,0,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Gentner Drummond,DEM,REP,,REP,-32.87,0.1,99.9,Safe R,-34.68,3.21,-34.95,2.08,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,33.57,66.43,0.0,367958,728265,0,0,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,4.83,67.8,32.2,Lean D,15.34,3.21,14.89,-10.06,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,45.0,40.0,1,5.0,0.15,52.42,47.58,0.0,823853,747921,0,0,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,13.85,90.7,9.3,Likely D,-0.87,3.21,-1.75,15.6,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.87,38.61,2,16.26,0.15,56.92,43.08,0.0,2802759,2120859,0,0,4923617
