race_code,round,cand_id,name,party,slot,pct,votes,status,exhausted_pct
AK-GOV,1,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,23.63,55876,active,0.0
AK-GOV,1,C-1060,Tom Begich,DEM,,21.82,51597,eliminated,0.0
AK-GOV,1,C-0074,Bernadette Wilson,REP,rep,30.24,71495,active,0.0
AK-GOV,1,C-1061,Dave Bronson,REP,,24.31,57477,active,0.0
AK-GOV,2,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,38.53,91114,active,5.04
AK-GOV,2,C-0074,Bernadette Wilson,REP,rep,31.28,73957,active,5.04
AK-GOV,2,C-1061,Dave Bronson,REP,,25.15,59455,eliminated,5.04
AK-GOV,3,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,41.48,98074,active,14.62
AK-GOV,3,C-0074,Bernadette Wilson,REP,rep,43.9,103800,elected,14.62
AK-SEN,1,C-0001,Mary Peltola,DEM,dem,48.18,113920,active,0.0
AK-SEN,1,C-0002,Dan S. Sullivan,REP,rep,49.32,116615,active,0.0
AK-SEN,1,C-1062,Daniel J. Sullivan Jr.,NPA,,2.5,5911,eliminated,0.0
AK-SEN,2,C-0001,Mary Peltola,DEM,dem,49.18,116284,active,0.5
AK-SEN,2,C-0002,Dan S. Sullivan,REP,rep,50.32,118979,elected,0.5
AK-01,1,C-0145,Nick Begich III,REP,rep,48.7,115139,active,0.0
AK-01,1,C-1013,Bill Hill,IND,ind,44.8,105938,active,0.0
AK-01,1,C-1063,Eric Hafner,DEM,,3.8,8985,active,0.0
AK-01,1,C-1064,John B. Williams,DEM,,2.7,6384,eliminated,0.0
AK-01,2,C-0145,Nick Begich III,REP,rep,48.88,115586,active,0.54
AK-01,2,C-1013,Bill Hill,IND,ind,45.67,107988,active,0.54
AK-01,2,C-1063,Eric Hafner,DEM,,4.9,11594,eliminated,0.54
AK-01,3,C-0145,Nick Begich III,REP,rep,49.59,117248,elected,1.52
AK-01,3,C-1013,Bill Hill,IND,ind,48.89,115603,active,1.52
