race_code,cand_id,name,party,slot,incumbent,first_pct,final_pct,win_prob,won
AK-GOV,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,0,23.63,48.58,26.0,0
AK-GOV,C-1060,Tom Begich,DEM,,0,21.82,0.0,11.8,0
AK-GOV,C-0074,Bernadette Wilson,REP,rep,0,30.24,51.42,56.7,1
AK-GOV,C-1061,Dave Bronson,REP,,0,24.31,0.0,5.6,0
AK-SEN,C-0001,Mary Peltola,DEM,dem,0,48.18,49.43,45.7,0
AK-SEN,C-0002,Dan S. Sullivan,REP,rep,1,49.32,50.57,54.3,1
AK-SEN,C-1062,Daniel J. Sullivan Jr.,NPA,,0,2.5,0.0,0.0,0
ME-SEN,C-1043,Troy Jackson,DEM,dem,0,50.11,50.11,50.9,1
ME-SEN,C-0030,Susan Collins,REP,rep,1,49.89,49.89,49.1,0
AK-01,C-0145,Nick Begich III,REP,rep,1,48.7,50.35,53.8,1
AK-01,C-1013,Bill Hill,IND,ind,0,44.8,49.65,46.2,0
AK-01,C-1063,Eric Hafner,DEM,,0,3.8,0.0,0.0,0
AK-01,C-1064,John B. Williams,DEM,,0,2.7,0.0,0.0,0
ME-01,C-0535,Chellie Pingree,DEM,dem,1,65.39,65.39,99.9,1
ME-01,C-0536,Ronald Russell,REP,rep,0,34.61,34.61,0.1,0
ME-02,C-0537,Matthew Dunlap,DEM,dem,0,47.4,47.4,30.3,0
ME-02,C-0538,Paul LePage,REP,rep,0,52.6,52.6,69.7,1
